hotel_name,city,area,rooms,category,phone,whatsapp,email,website,facebook_url,address,owner_name,manager_name,source,score,notes
Hotel Highgarden,Dhaka,Uttara,40,boutique,+8801977712379,,info@hotelhighgarden.com,https://www.hotelhighgarden.com,,House 40 Road 03 Sector 13 Uttara Dhaka 1230,,,own website,95,self-described business boutique near airport
Grace 21 Smart Hotel,Dhaka,Nikunja,40,business,+8801700707724,,reservation@hotelgrace21.com,https://www.hotelgrace21.com,https://www.facebook.com/Grace21SmartHotel/,House 1 and 3 Road 21 Nikunja 2 Dhaka 1229,,,own website,95,room mix published on site; ideal size
Hotel 71,Dhaka,Bijoynagar,56,boutique,+8801750076933,,,https://hotel71.com.bd,https://www.facebook.com/Hotel71Dhaka/,176 Shahid Syed Nazrul Islam Sharani Dhaka 1000,,,own website,92,independent 3-star; 9 room types
Hotel Grand Royal,Dhaka,Dhanmondi,,business,+8801958488160,,info@hotelgrandroyalbd.com,https://hotelgrandroyalbd.com,https://www.facebook.com/hotelgrandroyalbd/,Royal Plaza 4th and 5th floor House 8/A Road 4 Dhanmondi Dhaka 1205,,,own website,90,independent; active FB page
Hotel Nandini,Dhaka,Dhanmondi,,business,+8801810193510,,reservation@hotelnandini.com,https://hotelnandini.com,,105 Mirpur Road Sukrabad Dhanmondi Dhaka 1207,,,own website,88,independent mid-size
Nagar Valley Hotel,Dhaka,Uttara,,business,+8801710912276,+8801710912276,contact@nagarvalleyhotelbd.com,https://nagarvalleyhotelbd.com,,27 Shayesta Khan Avenue Sector 4 Uttara Dhaka 1230,,,own website,88,WhatsApp published on contact page
Shinepukur Suites,Dhaka,Gulshan,,boutique,+8801958606030,,sales@shinepukursuites.com,https://shinepukursuites.com,,House 8/C Road 143 Gulshan 1 Dhaka 1212,,,own website,88,markets itself as boutique
Hotel Victory,Dhaka,Naya Paltan,,business,+8801761646834,,info@hotelvictorybd.net,https://www.hotelvictorybd.net,https://www.facebook.com/hotelvictoryltd/,30/A VIP Road Naya Paltan Dhaka 1000,,,own website,88,8 room types; independent
Hotel Bengal Blueberry,Dhaka,Gulshan,,boutique,+8801622666608,,sales@bengalblueberry.com,https://www.bengalblueberry.com,,House 1/A Road 90 Gulshan 2 Dhaka 1212,,,own website,85,independent boutique
Marino Hotel Uttara,Dhaka,Uttara,,business,+8801990437919,,uttara@marinohotel.com.bd,https://marinohotel.com.bd,,House 45 Road 11 Sector 4 Uttara Dhaka 1230,,,own website,85,small local 3-property group
Marino Hotel Banani,Dhaka,Banani,,business,+8801670067810,,banani@marinohotel.com.bd,https://marinohotel.com.bd,,House 46 Road 18 Block J Banani Dhaka 1213,,,own website,85,same local group as Uttara branch
Royal Park Residence Hotel,Dhaka,Banani,66,boutique,+8801322910244,,hotelinfo@royalparkdhaka.com,https://royalparkdhaka.com,https://www.facebook.com/royalparkdhaka/,House 85 Road 25A Block A Banani Dhaka 1213,,,own website,85,Sri Lankan managed independent boutique
Hotel The Manha Ltd,Dhaka,Purana Paltan,,business,+8801711753001,,themanhamw@gmail.com,https://hotelthemanhaltd.com,https://www.facebook.com/p/Hotel-the-manha-ltd-61583012451123/,CMM Bhaban 35/A Purana Paltan Line VIP Road Dhaka 1000,,,own website,85,gmail contact suggests low system maturity
The Olives Residence and Suite,Dhaka,Gulshan,,boutique,+8801793529497,,,,,House 3 Road 126 Gulshan 1 Dhaka 1212,,,bd business directory,84,independent boutique residence
Grand Prince Hotel,Dhaka,Mirpur,,business,+8801718962156,,info@grandprince-dhaka.com,https://www.grandprince-dhaka.com,,Paradise Plaza Com Plot 6 and 11 Block B Mirpur 1 Dhaka 1216,,,own website,84,economy independent with own booking page
Marino Royal Hotel,Dhaka,Uttara,,business,+8801999150150,,reservation@marinoroyal.com,https://marinohotel.com.bd,,House 25 Road 03 Sector 03 Uttara Dhaka 1230,,,own website,83,sister property of Marino Hotel
Hotel Zakaria International,Dhaka,Mohakhali,,business,+8801753713864,,info@hotelzakaria.com,https://hotelzakaria.com,,House 35 Bir Uttam AK Khandakar Road Mohakhali C/A Dhaka 1212,,,own website,82,independent limited company
Hotel Dhanmondi Prime,Dhaka,Dhanmondi,,business,+8801775591666,,info@hoteldhanmondiprime.com,https://hoteldhanmondiprime.com,,House 18 Rupayan Khan Plaza Road 7 Dhanmondi Dhaka 1205,,,own website,82,AC and non-AC tiers; looks manual
Hotel De Crystal Crown,Dhaka,Gulshan,,business,+8801733000034,,,https://www.crystalcrownhotelbd.com,,House 5 Road 23/A Gulshan 1 Dhaka 1212,,,bd business directory,82,site SSL expired; likely low IT maturity
Ambala Inn,Dhaka,Dhanmondi,,business,+8801841103333,,,http://www.ambalainn.com,,Plot 39 Road 2 Dhanmondi R/A Dhaka 1205,,,bd business directory,82,independent small inn
Comfort Inn Dhaka,Dhaka,Uttara,,business,+8801911283113,,,,,House 50 Road 11 Sector 04 Uttara Dhaka 1230,,,bd business directory,82,mobile-only contact; likely paper run
Pearl Hotel,Dhaka,Banani,,business,+8801886224466,,,https://www.pearlhotelbd.com,https://www.facebook.com/pearlhotelbangladesh/,House 17 Road 28 Block K Banani C/A Dhaka 1213,,,own website,82,4 room categories
Hotel Razmoni Ishakha,Dhaka,Kakrail,70,business,+8801760004814,,razmoni.dhaka@gmail.com,https://www.hotelrazmoni.com,https://www.facebook.com/hotelrazmoniishakhabd/,89/3 VIP Road Kakrail Dhaka 1000,,,own website,82,gmail addresses published; 70 keys
Hotel Lake Castle,Dhaka,Gulshan,,business,+8801701265050,,info@hotellakecastle.com,https://hotellakecastle.com,,Plot 1A Road 68/A Gulshan 2 Dhaka 1212,,,own website,80,5 room categories
Hotel Pacific Downtown,Dhaka,Motijheel,,budget,+8801761115874,+8801723821775,downtown@hotelpacificbd.com,https://hotelpacificbd.com,,120/B Motijheel Commercial Area Dhaka 1000,,,own website,80,privately managed since 1995; WhatsApp published
Tropical Daisy,Dhaka,Gulshan,,boutique,+8801313086070,,,,,House 31/B Road 35/A Gulshan 2 Dhaka 1212,,,bd business directory,80,small boutique property
Hotel Givenci International,Dhaka,Farmgate,,business,+88029113947,,,https://www.hotelgivenciinternational.com,https://www.facebook.com/Givenci4321/,76/A Kazi Nazrul Islam Avenue Babul Tower Farmgate Dhaka 1215,,,bd business directory,80,active FB page
