reservation_id,guest_name,gross_bdt,paid_total_bdt,balance_due_bdt,real_paid_after_dedup_bdt,ledger_payment_bdt,ledger_charge_bdt,resv_total_bdt,action,recommendation
71d8cdcc-02a4-454e-b43f-f5ac1326d3bb,MD. FARUK HOSSAIN,4500,87500,-83000,82500,0,4500,4500,GROSS_UNDERSYNC_confirm_charges,LIKELY-DUP: 82500 paid vs 4500 charge — confirm duplicate submits then void surplus payment_transactions
8fe99220-432b-447e-98a0-78b7f8068560,ZUBAYED KHAN,4500,70000,-65500,66000,0,4500,4500,GROSS_UNDERSYNC_confirm_charges,LIKELY-DUP: 66000 paid vs 4500 charge — confirm then void surplus
719f05eb-adcd-4878-9f23-e159b07a58d8,,4500,18320,-13820,9160,0,13820,4500,GROSS_UNDERSYNC_confirm_charges,Mixed: paid_total inflated AND ledger_charge 13820 — verify real charges vs dup payments
e101369b-1468-4769-8ce3-b494b467fe24,,1000,14000,-13000,13000,0,1000,1000,GROSS_UNDERSYNC_confirm_charges,LIKELY-DUP: 13000 paid vs 1000 charge
b2b37285-702e-4d63-8dfc-77cedd2ebede,,17530,26640,-9110,26640,0,9110,17530,GROSS_UNDERSYNC_confirm_charges,Raise gross to include ledger_charge 9110 if F&B/extras real -> balance ~0
f7e78599-9036-4651-b38f-aefb3348c78d,,4000,8000,-4000,8550,50,4550,4000,GROSS_UNDERSYNC_confirm_charges,Verify extras; real_paid 8550 ~ gross+ledger_charge
e74506bf-8b31-4562-8543-f9c337ceb7db,,3500,7000,-3500,0,3500,0,3500,GL_DISAGREE_manual,Payment only in guest_ledger (3500); payment_transactions=0 — do NOT lower paid
e22cf1fc-ee5e-4542-af78-b83c3315a349,,4500,6560,-2060,11060,0,2060,4500,GROSS_UNDERSYNC_confirm_charges,real_paid 11060 inflated — check dups
5d1002f6-5b92-4a8e-a2a6-8736a2eb34be,,4000,5000,-1000,8300,4000,1000,4000,GROSS_UNDERSYNC_confirm_charges,Mixed sources — verify
1117cc1e-77a1-4f58-a275-b8448f0bb458,,3500,4320,-820,81520,0,1320,3500,GROSS_UNDERSYNC_confirm_charges,LIKELY-DUP: real_paid 81520 huge — void surplus
c2114f16-fb71-4522-be25-68964378256c,,4000,4700,-700,4700,200,500,4000,GROSS_UNDERSYNC_confirm_charges,Raise gross for extras 500 if real -> ~0
15028b63-113f-4dc6-9ea3-d2ff4900b845,,8000,8200,-200,8140,180,140,8000,GROSS_UNDERSYNC_confirm_charges,Small extra; raise gross ~ balance 0
f69e6485-67eb-4ef6-b448-26ee488c076d,,3500,3680,-180,3680,180,180,3500,GROSS_UNDERSYNC_confirm_charges,Extra 180 documented -> raise gross to 3680
433c3c42-d649-49bd-a65c-c76f32b6b574,,4500,4680,-180,4680,0,180,4500,GROSS_UNDERSYNC_confirm_charges,Extra 180 documented -> raise gross to 4680
a883b5a2-283f-4407-83fa-2b20d05ff335,,4500,4680,-180,9180,0,180,4500,GROSS_UNDERSYNC_confirm_charges,real_paid 9180 inflated — check dups
fb5e865d-88b8-45da-887a-c6704fb0fef8,,8000,8160,-160,16260,160,160,8000,GROSS_UNDERSYNC_confirm_charges,real_paid 16260 inflated — check dups
bafbb6e8-1f58-4227-b0f9-52833491815c,,4000,4160,-160,4160,0,160,4000,GROSS_UNDERSYNC_confirm_charges,Extra 160 -> raise gross to 4160
